ax,ay,az
-0.020752,-0.14209,-0.972778
-0.0213013,-0.141357,-0.9729
-0.0213013,-0.143372,-0.969666
-0.0218506,-0.145081,-0.969421
-0.0206909,-0.142456,-0.972595
-0.024231,-0.140015,-0.973083
-0.0236816,-0.141174,-0.970154
-0.0216675,-0.143433,-0.971436
-0.0215454,-0.141968,-0.969849
-0.0234375,-0.144287,-0.971313
-0.0219116,-0.141846,-0.974548
-0.0187378,-0.143433,-0.96991
-0.0211182,-0.141968,-0.97229
-0.0214844,-0.141113,-0.970947
-0.0204468,-0.141663,-0.972046
-0.0216675,-0.143188,-0.970581
-0.0220947,-0.143372,-0.973267
-0.0204468,-0.14209,-0.971313
-0.0227051,-0.144104,-0.972168
-0.0213623,-0.14032,-0.970337
-0.0203857,-0.142883,-0.971558
-0.0194092,-0.143799,-0.970703
-0.0201416,-0.143555,-0.9729
-0.0223389,-0.140625,-0.972046
-0.0195312,-0.144836,-0.970154
-0.0211182,-0.142456,-0.972168
-0.0201416,-0.142151,-0.971558
-0.0213013,-0.143555,-0.971802
-0.020874,-0.141541,-0.972351
-0.0214844,-0.144348,-0.971436
-0.0217285,-0.141113,-0.972778
-0.0196533,-0.143372,-0.971741
-0.0199585,-0.142029,-0.968872
-0.0217896,-0.142883,-0.973022
-0.0214844,-0.144104,-0.9729
-0.0195312,-0.140991,-0.973206
-0.0220337,-0.143433,-0.973511
-0.0205078,-0.140198,-0.973083
-0.0223389,-0.143372,-0.970154
-0.0195923,-0.143982,-0.973267
-0.019165,-0.14447,-0.974182
-0.0213623,-0.140747,-0.970459
-0.0215454,-0.141968,-0.972351
-0.0221558,-0.145325,-0.971802
-0.0216064,-0.14093,-0.97229
-0.0222168,-0.1427,-0.971558
-0.0206909,-0.142334,-0.971436
-0.0213623,-0.140198,-0.973572
-0.0195923,-0.142517,-0.972046
-0.0204468,-0.14209,-0.971191
-0.0210571,-0.144104,-0.972229
-0.0202026,-0.139832,-0.971558
-0.0217285,-0.143738,-0.972778
-0.0211182,-0.142212,-0.970581
-0.0197144,-0.142517,-0.972656
-0.0192261,-0.145142,-0.970581
-0.0205078,-0.141663,-0.971802
-0.0217896,-0.143372,-0.971069
-0.0222168,-0.155579,-0.973755
-0.0218506,-0.140747,-0.970032
-0.020874,-0.141296,-0.97052
-0.0216064,-0.138611,-0.970825
-0.0206299,-0.142334,-0.972534
-0.0239258,-0.142334,-0.97052
-0.020874,-0.141113,-0.972412
-0.0202637,-0.14032,-0.973206
-0.0217896,-0.141846,-0.972351
-0.0198975,-0.142395,-0.970398
-0.0205078,-0.143555,-0.971191
-0.0227661,-0.142029,-0.973572
-0.0211182,-0.142395,-0.972717
-0.0202026,-0.143799,-0.973389
-0.0195923,-0.142151,-0.971008
-0.0197144,-0.142761,-0.972229
-0.0213623,-0.141052,-0.972046
-0.0228271,-0.140808,-0.970337
-0.0222168,-0.143127,-0.971252
-0.020752,-0.144531,-0.969482
-0.0195923,-0.143921,-0.974243
-0.0230103,-0.143188,-0.970764
-0.0228882,-0.139587,-0.972046
-0.0202637,-0.142029,-0.970398
-0.0202026,-0.141541,-0.9729
-0.020752,-0.141602,-0.972656
-0.020813,-0.141235,-0.973145
-0.0220337,-0.141174,-0.973206
-0.0205688,-0.143005,-0.971558
-0.0218506,-0.143494,-0.97229
-0.0214233,-0.140259,-0.973633
-0.0241699,-0.142395,-0.973511
-0.0205688,-0.142578,-0.970093
-0.0230713,-0.143982,-0.968445
-0.0205078,-0.142273,-0.973083
-0.0233154,-0.142395,-0.970459
-0.0218506,-0.1427,-0.972534
-0.0200195,-0.142151,-0.972229
-0.0192871,-0.143433,-0.968872
-0.022522,-0.14325,-0.971619
-0.0214844,-0.140564,-0.972412
-0.0213013,-0.142029,-0.972229
-0.0187988,-0.315125,-0.92749
-0.0203247,-0.314087,-0.932251
-0.0187988,-0.316101,-0.931519
-0.0179443,-0.314941,-0.93103
-0.0195923,-0.313782,-0.929565
-0.0148315,-0.315002,-0.929321
-0.019104,-0.313965,-0.929871
-0.0181885,-0.314819,-0.928284
-0.0187378,-0.315552,-0.929504
-0.0198364,-0.315247,-0.929138
-0.017395,-0.313477,-0.927307
-0.019104,-0.313049,-0.929504
-0.0184937,-0.315613,-0.930298
-0.0178833,-0.312561,-0.92865
-0.0182495,-0.315918,-0.92981
-0.0176392,-0.313843,-0.929626
-0.0178223,-0.314331,-0.929016
-0.0180054,-0.314636,-0.92981
-0.0167847,-0.315674,-0.927002
-0.0189209,-0.313538,-0.928101
-0.0181885,-0.311646,-0.93042
-0.0223999,-0.312622,-0.929077
-0.0183716,-0.315674,-0.929077
-0.0167236,-0.31366,-0.929688
-0.0178223,-0.314087,-0.929749
-0.0177002,-0.297485,-0.928223
-0.0183105,-0.311584,-0.927002
-0.0177002,-0.315552,-0.929688
-0.0178833,-0.314392,-0.930603
-0.0197144,-0.314331,-0.929321
-0.0187988,-0.313721,-0.931519
-0.0170288,-0.316345,-0.928772
-0.0197144,-0.314758,-0.930908
-0.0175171,-0.31543,-0.928772
-0.0160522,-0.31427,-0.927795
-0.0186157,-0.312256,-0.928284
-0.0192261,-0.314087,-0.926819
-0.0180054,-0.313049,-0.928406
-0.0187378,-0.313599,-0.92865
-0.0192261,-0.312866,-0.928406
-0.0192261,-0.31543,-0.929749
-0.0187988,-0.314453,-0.929138
-0.0189209,-0.314331,-0.926636
-0.0185547,-0.314575,-0.930603
-0.0212402,-0.314758,-0.930542
-0.0170288,-0.316284,-0.930603
-0.0177002,-0.314148,-0.928345
-0.0170288,-0.312988,-0.929077
-0.0181274,-0.31311,-0.928833
-0.0183105,-0.316284,-0.930908
-0.0187378,-0.314392,-0.929688
-0.0193481,-0.314087,-0.929932
-0.019165,-0.313477,-0.928345
-0.0198364,-0.311829,-0.926636
-0.0200195,-0.313416,-0.92804
-0.0177612,-0.314392,-0.929443
-0.0184937,-0.317871,-0.92865
-0.0182495,-0.315735,-0.92865
-0.0198364,-0.31366,-0.926636
-0.0149536,-0.314575,-0.928223
-0.0178833,-0.314575,-0.927979
-0.0181274,-0.314514,-0.929016
-0.0197144,-0.313171,-0.929749
-0.0186157,-0.314819,-0.928833
-0.0189819,-0.31366,-0.928589
-0.0172729,-0.315674,-0.928772
-0.0172729,-0.315979,-0.928345
-0.0012207,-0.312317,-0.929016
-0.0172729,-0.312683,-0.927795
-0.0198364,-0.312378,-0.928467
-0.0178223,-0.313721,-0.92926
-0.0180664,-0.315186,-0.929321
-0.0178833,-0.314575,-0.927612
-0.0223999,-0.313721,-0.930176
-0.0184326,-0.31488,-0.929993
-0.0174561,-0.314636,-0.928467
-0.0186768,-0.31366,-0.92981
-0.0187378,-0.313721,-0.929443
-0.0186768,-0.312744,-0.928833
