ax,ay,az,mx,my,mz
-0.0969686,0.148642,-1.02146,-0.13622,0.2737,-0.17024
-0.0936042,0.155074,-1.02489,-0.13258,0.27356,-0.1652
-0.0699314,0.135973,-1.0219,-0.133,0.2716,-0.16926
-0.0228916,0.11057,-1.00167,-0.13272,0.27048,-0.16674
0.0227413,0.0813704,-0.974658,-0.13006,0.2646,-0.16758
0.0378503,0.0227005,-0.953433,-0.13188,0.26572,-0.16254
0.0356482,-0.0223783,-0.938089,-0.13146,0.26208,-0.16184
0.0152174,-0.0416166,-0.918838,-0.12894,0.2646,-0.16184
-0.0036842,-0.038193,-0.914873,-0.126,0.26012,-0.16324
-0.0200778,-0.0163943,-0.913051,-0.12782,0.25984,-0.16086
-0.0434448,0.0389044,-0.933215,-0.13188,0.26208,-0.16492
-0.0483384,0.0796322,-0.944322,-0.13034,0.26068,-0.16716
-0.0673623,0.110495,-0.969148,-0.13174,0.26138,-0.17304
-0.0753144,0.154406,-0.975844,-0.12572,0.26306,-0.17514
-0.0757426,0.176516,-0.972965,-0.12656,0.26292,-0.17752
-0.0279687,0.198091,-0.988194,-0.12418,0.2667,-0.1806
0.0311216,0.290288,-1.09319,-0.12474,0.2639,-0.17864
0.0581587,0.203448,-1.06681,-0.12404,0.2688,-0.1708
0.0650098,0.106128,-0.983635,-0.1239,0.26656,-0.17626
0.0655603,0.125421,-0.95557,-0.12362,0.2681,-0.1736
0.0339354,0.136864,-0.988497,-0.12558,0.26642,-0.17738
-0.0159182,0.121475,-0.987079,-0.12586,0.2618,-0.1764
-0.0527426,0.144063,-1.00348,-0.1218,0.26432,-0.1736
-0.0597772,0.139651,-1.00022,-0.12502,0.26292,-0.17808
-0.0290698,0.126064,-0.985697,-0.1267,0.26068,-0.17654
-0.0157347,0.107388,-0.979317,-0.1274,0.25858,-0.18046
0.00432908,0.14843,-0.981321,-0.12474,0.25732,-0.17626
-0.0187932,0.183456,-0.99458,-0.12614,0.25886,-0.17374
-0.0323118,0.169059,-1.01105,-0.12516,0.25774,-0.1785
-0.041732,0.153437,-1.01953,-0.12264,0.2576,-0.16912
-0.0554953,0.116991,-1.00311,-0.12054,0.2576,-0.1708
-0.0544554,0.110928,-0.987648,-0.1246,0.26082,-0.16632
-0.0430777,0.118648,-0.992752,-0.1246,0.2569,-0.16912
-0.0162241,0.130049,-0.985976,-0.12488,0.25564,-0.17178
-0.0117587,0.131459,-1.00207,-0.12348,0.25844,-0.17458
-0.0167746,0.132438,-1.01226,-0.126,0.25914,-0.1722
-0.0383065,0.0687947,-1.03368,-0.12908,0.25634,-0.17906
0.00934503,0.149963,-1.0119,-0.12572,0.25914,-0.1715
-0.0136549,0.12809,-0.990752,-0.12502,0.25718,-0.17794
-0.0420378,0.107563,-0.972948,-0.12166,0.25592,-0.17556
-0.048583,0.0895542,-0.964251,-0.12376,0.2576,-0.17948
-0.0439341,0.0954355,-0.96359,-0.12446,0.25284,-0.17836
-0.0390405,0.111668,-0.988179,-0.1225,0.2534,-0.17528
-0.0293756,0.142907,-1.00617,-0.12306,0.25004,-0.17444
-0.0397134,0.152642,-1.00816,-0.1204,0.25298,-0.17178
-0.0394687,0.158889,-1.00095,-0.11886,0.25354,-0.17248
-0.0320059,0.156503,-0.986662,-0.11998,0.25102,-0.17486
-0.0425272,0.169851,-0.98553,-0.11522,0.25228,-0.18018
-0.0472985,0.186203,-0.987226,-0.11788,0.24794,-0.17948
-0.0441176,0.193737,-0.978796,-0.11788,0.24598,-0.17612
-0.0508463,0.182404,-0.982326,-0.11914,0.245,-0.16982
-0.0521921,0.176157,-0.983424,-0.11732,0.2478,-0.17948
-0.0438118,0.183509,-0.975558,-0.11564,0.24906,-0.17304
-0.0227693,0.1886,-0.97268,-0.11718,0.24402,-0.17388
-0.0200778,0.193929,-0.97605,-0.1176,0.2464,-0.1757
-0.024849,0.191355,-0.985575,-0.11298,0.2492,-0.17234
-0.0247267,0.177452,-0.983499,-0.11424,0.24346,-0.17402
-0.0424049,0.193983,-0.988644,-0.11242,0.24108,-0.1785
-0.0696867,0.202059,-0.981843,-0.1141,0.24066,-0.17472
-0.0857744,0.206034,-0.978802,-0.11284,0.24178,-0.17402
-0.087426,0.216201,-0.981975,-0.1127,0.23968,-0.17374
-0.0842452,0.218958,-0.987975,-0.11102,0.23898,-0.18172
-0.0727452,0.214491,-0.991064,-0.11144,0.2359,-0.17752
-0.0476655,0.215724,-0.988687,-0.10822,0.23534,-0.17346
-0.0194661,0.196195,-0.992008,-0.10794,0.23296,-0.1834
-0.00980121,0.190135,-0.985922,-0.10542,0.23604,-0.17682
-0.0129821,0.181743,-0.980229,-0.10402,0.23198,-0.1806
-0.0367772,0.186329,-0.983525,-0.1078,0.23282,-0.18018
-0.0734793,0.180498,-0.98471,-0.10654,0.23114,-0.18144
-0.108713,0.18704,-0.992132,-0.10654,0.23086,-0.18116
-0.116482,0.204554,-0.99113,-0.10304,0.2282,-0.17738
-0.0904234,0.210933,-0.985697,-0.105,0.22666,-0.17766
-0.0560458,0.195755,-0.976318,-0.10402,0.22344,-0.1827
-0.0223411,0.177269,-0.973968,-0.10374,0.22526,-0.18298
-0.00802728,0.167107,-0.972725,-0.10374,0.22358,-0.18158
-0.017264,0.157059,-0.981444,-0.09982,0.22022,-0.17934
-0.0370831,0.166117,-0.992699,-0.09968,0.224,-0.18354
-0.0602665,0.171744,-0.99294,-0.0966,0.2205,-0.18032
-0.074825,0.174924,-0.995345,-0.0994,0.21812,-0.17654
-0.0829606,0.166225,-0.99025,-0.09506,0.2135,-0.17402
-0.0838782,0.169225,-0.977775,-0.09576,0.2191,-0.17682
-0.0504181,0.177137,-0.977926,-0.09352,0.217,-0.18172
-0.0566575,0.165376,-0.977483,-0.09884,0.21434,-0.17626
-0.0523144,0.172053,-0.984769,-0.09646,0.21,-0.17262
-0.0495618,0.153619,-0.989732,-0.09758,0.20972,-0.1715
-0.050724,0.12079,-0.987656,-0.09394,0.21028,-0.17458
-0.062591,0.10284,-0.980779,-0.09338,0.20384,-0.16604
-0.0745803,0.115147,-0.981294,-0.09282,0.20188,-0.17192
-0.0855909,0.128863,-0.982852,-0.09422,0.20636,-0.16828
-0.0851627,0.14638,-0.981688,-0.09436,0.20062,-0.16716
-0.0734793,0.1511,-0.989178,-0.09352,0.20132,-0.16688
-0.0479713,0.135735,-0.984665,-0.0903,0.20286,-0.16996
-0.0405698,0.120303,-0.976801,-0.0924,0.20034,-0.16744
-0.0387958,0.111974,-0.977235,-0.0938,0.19684,-0.17024
-0.0513969,0.119442,-0.980073,-0.0896,0.20104,-0.16898
-0.0750697,0.129908,-0.968329,-0.08736,0.20286,-0.16618
-0.0860803,0.124575,-0.980344,-0.091,0.20272,-0.16996
-0.0849792,0.124331,-0.978758,-0.0889,0.2002,-0.16548
-0.0706654,0.131501,-0.976839,-0.08288,0.19922,-0.16632
-0.0645484,0.134443,-0.98193,-0.09044,0.19446,-0.16758
-0.0634474,0.137996,-0.981199,-0.08414,0.19544,-0.16576
-0.0649154,0.126052,-0.98352,-0.0854,0.19768,-0.17318
-0.0653436,0.113864,-0.983215,-0.08526,0.19334,-0.17192
-0.0682798,0.115578,-0.994396,-0.07966,0.19544,-0.16772
-0.0782505,0.11239,-0.998893,-0.08036,0.19012,-0.1673
-0.0822878,0.118513,-1.00389,-0.0819,0.19586,-0.16338
-0.0796574,0.12127,-0.9888,-0.07924,0.19222,-0.16478
-0.0758649,0.117842,-0.970408,-0.08358,0.19446,-0.16562
-0.0806973,0.111654,-0.987515,-0.08134,0.19586,-0.16464
-0.0802691,0.114226,-0.99369,-0.0812,0.19432,-0.16632
-0.0843675,0.127516,-1.00804,-0.0812,0.19278,-0.16744
-0.0872425,0.14595,-1.01378,-0.08148,0.19306,-0.1631
-0.0836335,0.129905,-1.00205,-0.07938,0.18718,-0.16324
-0.0776388,0.114411,-0.992903,-0.07742,0.19096,-0.16548
-0.0649766,0.11613,-0.990125,-0.07406,0.19292,-0.1708
-0.066567,0.120356,-0.99764,-0.07518,0.18844,-0.16212
-0.0685857,0.104859,-0.996903,-0.07784,0.18746,-0.16716
-0.0812479,0.114532,-0.997601,-0.07742,0.18606,-0.16618
-0.0918915,0.130392,-0.997324,-0.07546,0.1883,-0.16772
-0.0910351,0.0913165,-0.991403,-0.0749,0.1841,-0.16534
-0.0803915,0.102896,-0.99357,-0.07266,0.18396,-0.1631
-0.0698091,0.105778,-0.991336,-0.07056,0.18004,-0.16618
